,CoinName,0,1,class
0,42 Coin,-13.662338,2.7080185,1
1,404Coin,-19.82193,-1.0801123,1
2,EliteCoin,-27.561348,-2.8968272,1
15,KoboCoin,-14.805405,8.998871,1
18,Aurora Coin,-15.5595045,3.5281603,1
19,BlueCoin,-19.485992,0.51439774,1
25,EnergyCoin,-18.246222,2.1424432,1
27,Riecoin,-12.149851,-6.0673256,1
29,BitBar,-13.707225,2.6102781,1
31,CryptoBullion,-13.919559,2.3151836,1
35,Diamond,-12.22654,-6.0053225,1
49,HoboNickels,-19.260546,2.4069293,1
57,MaxCoin,-11.935085,2.0118494,1
64,NavCoin,-28.22086,-2.463563,1
68,OpalCoin,-28.325916,-2.1804495,1
70,PotCoin,-20.268972,0.76584506,1
71,PhoenixCoin,-18.91587,2.612796,1
72,Reddcoin,-16.798065,-1.0521792,1
81,TittieCoin,-9.54618,5.87193,1
87,UnitaryStatus Dollar,-19.332472,-1.2830575,1
88,UltraCoin,-18.747892,2.9939663,1
96,StealthCoin,-28.324814,-2.1803856,1
97,ZCC Coin,-20.677282,-0.26485965,1
104,FairCoin,-12.22651,-6.0053234,1
108,Kore,-28.326218,-2.1805193,1
112,8BIT Coin,-13.761381,3.07464,1
113,Sativa Coin,-28.326044,-2.180505,1
120,Vtorrent,-15.344164,3.111396,1
127,Nexus,-11.415055,1.7999768,1
131,Droidz,-12.900171,3.4153821,1
138,Paycon,-28.220934,-2.464082,1
141,EverGreenCoin,-14.805402,8.998869,1
144,Decred,-11.539232,-2.198904,1
152,PWR Coin,-19.581007,-7.3269725,1
153,BillaryCoin,-16.355951,2.7799175,1
169,VIP Tokens,-19.58114,-7.3278265,1
173,PutinCoin,-19.276047,-1.285621,1
174,iBankCoin,-16.254625,2.5477295,1
175,Frankywillcoin,-19.11023,2.3180943,1
176,MudraCoin,-29.132948,-3.2110367,1
181,CarterCoin,-18.52247,3.173729,1
186,ZoneCoin,-15.029248,2.3670115,1
188,RootCoin,-13.82585,3.2345293,1
194,BuzzCoin,-21.782383,6.00314,1
196,PesoBit,-15.570417,4.0250263,1
200,RoyalCoin,-29.132963,-3.2109404,1
203,LanaCoin,-21.782366,6.0031466,1
210,EmberCoin,-27.879856,-2.4404109,1
213,PLNCoin,-16.49651,3.2230482,1
214,AquariusCoin,-16.038324,2.3890789,1
219,BitcoinFast,-16.386786,3.4096751,1
221,BitConnect Coin,-15.813234,2.9373832,1
222,MoneyCoin,-20.77012,0.7084561,1
225,Russiacoin,-18.98447,3.4428208,1
227,GameUnits,-14.600961,2.9697826,1
228,GAKHcoin,-14.164864,3.3412051,1
