,CoinName,0,1,class
4,Ethereum,10.986727,-13.804439,0
5,Litecoin,2.171778,-6.9253154,0
7,Monero,5.253537,-14.196816,0
8,Ethereum Classic,10.9867525,-13.804453,0
9,ZCash,6.999856,-19.71972,0
11,DigiByte,14.158514,-8.498741,0
14,ProsperCoin,6.179112,-6.4296136,0
17,Argentum,4.147332,-7.905472,0
20,MyriadCoin,14.1568165,-8.499237,0
21,MoonCoin,-1.0090084,-15.441856,0
23,SexCoin,-0.008967056,-8.252182,0
24,Quatloo,3.14408,-8.261342,0
28,Digitalcoin ,3.9950452,-7.171133,0
30,Catcoin,6.20323,-7.259226,0
32,CannaCoin,6.6932507,-7.117605,0
34,CasinoCoin,-4.5314155,-10.03647,0
36,Verge,14.157096,-8.499269,0
38,EarthCoin,1.1433526,-13.100387,0
39,E-Gulden,5.4277897,-6.606167,0
40,Einsteinium,-0.93299544,-7.919117,0
41,Emerald,5.1715317,-7.1363983,0
43,FlutterCoin,8.365602,-5.897606,0
44,Franko,6.7117386,-6.2995353,0
45,FeatherCoin,-9.600294,-13.235412,0
46,GrandCoin,-0.4918034,-10.583988,0
47,GlobalCoin,2.3521528,-6.8288307,0
48,GoldCoin,3.0189226,-7.1927123,0
51,Infinite Coin,-1.2268584,-14.523893,0
54,KrugerCoin,-0.46784708,-8.0211735,0
55,LuckyCoin,5.5666695,-6.668697,0
56,Litebar ,7.3562756,-6.425053,0
58,MegaCoin,3.975122,-7.0019474,0
59,MediterraneanCoin,1.9409436,-9.549039,0
61,MinCoin,6.5640287,-6.2268386,0
65,NobleCoin,1.1475129,-12.276494,0
67,NyanCoin,-1.1968302,-7.7894635,0
69,Orbitcoin,-10.14285,-13.0624,0
73,RonPaulCoin,6.59903,-7.2553573,0
74,StableCoin,0.90493244,-8.425018,0
75,SmartCoin,4.2648745,-7.3843055,0
79,TeslaCoin,14.589259,-8.335015,0
89,ViaCoin,5.221004,-6.6774716,0
90,VeriCoin,7.6395783,-5.270631,0
91,Vertcoin,-3.8098888,-2.1119363,0
92,WorldCoin,0.027433787,-8.308643,0
94,Crypti,14.589232,-8.335026,0
98,ByteCoin,-2.4993606,-20.646587,0
99,DigitalNote ,-2.8461313,-21.786152,0
100,BurstCoin,-4.5678763,-10.032155,0
