,CoinName,0,1,class
6,Dash,-6.667376,22.88855,2
10,Bitshares,0.7344424,6.767429,2
16,Spreadcoin,3.6364841,21.78391,2
26,QuarkCoin,-5.48517,9.645427,2
33,CryptCoin,4.0285745,21.523987,2
50,HyperStake,2.1199634,15.148379,2
52,IOCoin,-6.7177405,22.616653,2
60,MintCoin,7.2721047,7.841614,2
63,Nautilus Coin,6.857215,8.630628,2
76,SuperCoin,2.1197479,15.148605,2
77,SyncCoin,-6.789937,23.60391,2
82,TorCoin,-7.450837,23.909136,2
86,UroCoin,3.4089572,21.269201,2
93,X11 Coin,-6.5566235,23.025934,2
101,StorjCoin,7.405548,9.892643,2
106,RubyCoin,6.5172033,7.812896,2
110,Dnotes,6.558049,7.789979,2
116,Ucoin,2.1197395,15.148604,2
126,IslaCoin,-6.7154665,23.50022,2
128,MarsCoin ,2.8364346,21.478512,2
132,BowsCoin,2.9770434,21.642916,2
133,Squall Coin,-3.2669942,16.837212,2
136,Diggits,7.2659793,8.401639,2
142,MindCoin,3.1092088,21.709919,2
148,Hitcoin,-7.4615464,20.50815,2
154,GPU Coin,7.331383,8.224259,2
155,Adzcoin,4.030797,20.641006,2
159,EuropeCoin,-8.520857,22.392784,2
160,ZeitCoin,7.0696273,7.054833,2
165,BolivarCoin,3.5704658,21.793953,2
166,Ratecoin,-7.467559,22.192347,2
170,BitSend,-8.206104,22.920486,2
177,PizzaCoin,4.165084,21.070873,2
178,Lutetium Coin,2.1197724,15.148346,2
180,GoldBlocks,-7.5437684,23.063795,2
185,MustangCoin,-6.9814663,23.76838,2
190,BitCurrency,6.3754325,8.246241,2
197,Halloween Coin,-8.164885,20.657518,2
207,InsaneCoin,-8.087784,23.542372,2
209,ArtexCoin,4.1459007,21.179272,2
211,XenixCoin,-6.650171,23.283003,2
215,Kurrent,2.8492274,20.918032,2
217,Eternity,-6.9608383,22.542822,2
220,Stakenet,5.185587,21.995394,2
223,Enigma,-7.2151885,23.897036,2
226,PandaCoin,7.169877,7.4596844,2
229,Allsafe,-4.92203,10.130781,2
236,KushCoin,-7.403619,23.491133,2
238,PacCoin,2.7041814,20.155191,2
241,Zilbercoin,7.0749974,8.591703,2
245,VaultCoin,3.3668272,20.924328,2
250,RenosCoin,6.703649,8.609741,2
252,VirtacoinPlus,-8.287865,23.180792,2
254,Impact,-7.673942,22.281755,2
257,HappyCoin,-7.9021773,22.910444,2
260,Condensate,-8.512568,21.792185,2
265,GoldReserve,-8.129413,23.488932,2
267,GrowthCoin,7.3060126,8.0821705,2
282,DigitalPrice,4.019131,20.638521,2
288,ArcticCoin,4.1665087,20.941164,2
289,DAS,4.0317454,21.518366,2
296,Signatum,6.0265083,9.7573805,2
297,Onix,3.1459906,20.616024,2
300,Monoeci,-7.251468,23.242105,2
301,Draftcoin,6.490858,8.433304,2
313,Obsidian,0.73445326,6.7675443,2
314,Cardano,8.331009,7.1548715,2
315,Regalcoin,-7.878099,23.724909,2
318,Elements,2.766324,21.073772,2
329,Bitcloud 2.0,-5.9004946,9.95203,2
331,KekCoin,5.1872053,8.773019,2
334,Pura,3.07858,20.680508,2
338,Magnet,-7.912189,22.649445,2
348,Kalkulus,-4.9220285,10.130781,2
349,AC3,3.4776194,20.426361,2
354,PhantomX,-7.3264136,22.68715,2
356,Sucre,3.850702,21.726017,2
358,Digiwage,-4.9219666,10.130777,2
363,Monkey Project,2.1197398,15.148604,2
364,Pioneer Coin,3.2643528,21.764126,2
382,Crypto Improvement Fund,3.501547,20.416222,2
385,Pushi,-7.7085395,23.827877,2
387,Velox,7.077778,8.589447,2
388,Ontology,8.47827,8.8761425,2
397,MedicCoin,6.565164,7.7875276,2
399,Bitcoin Green,5.331257,7.278921,2
403,FuturoCoin,3.753437,20.457167,2
404,Carebit,-5.90051,9.9520235,2
411,Bitcoin Incognito,-3.274974,16.788788,2
413,HollyWoodCoin,6.406526,8.002321,2
419,Xt3ch,6.3757415,8.254973,2
426,Poseidon Quark,-4.9218197,10.130592,2
431,Axe,2.7730584,21.176815,2
433,Dystem,-4.921933,10.130655,2
434,Giant,-5.9005513,9.952007,2
435,Peony Coin,6.8470235,7.6715736,2
437,Vitae,-4.9220924,10.130735,2
444,ARENON,2.1197388,15.148601,2
445,EUNO,-7.48121,22.911745,2
446,MMOCoin,7.3337913,8.216754,2
450,PAXEX,2.1197329,15.148598,2
451,Azart,3.557598,21.102757,2
453,Kcash,0.6892181,6.6028166,2
461,Junson Ming Chan Coin,2.121466,15.147538,2
463,HerbCoin,-5.9005404,9.952012,2
471,Galilel,-5.900549,9.952008,2
473,Crypto Sports,-4.9220285,10.130782,2
476,Dash Platinum,2.1197393,15.148606,2
480,Award,-8.539928,22.277687,2
484,Insane Coin,-6.839576,22.493654,2
488,TruckCoin,-7.2646303,21.957922,2
495,PinkCoin,-8.616246,21.179033,2
499,Piggy Coin,-8.332918,20.732927,2
505,CapriCoin,-8.001395,21.947826,2
510,Creditbit ,3.1409578,23.020388,2
513,HiCoin,7.124322,7.758049,2
531,BitcoinPlus,6.612283,8.563441,2
